,label,text
0,1,[улыбка способный улучшить спортивный результат следовать новое исследование позволять маленький замечать прилагать усилие также делать спорт более лёгкое занятие фактический говорят исследователь многие хороший спортсмен число олимпийский чемпион элиот кипхог улыбаться чтобы повысить свой производительность результат работа учёный опубликовать издание психология спорт физический упражнение показывать улыбка помогать уменьшить мышечный напряжение отвлекать телесный ощущение облегчать работа бегун использовать маленький энергия уменьшать мышечный напряжение когда улыбаться слово исследователь ньюэла онлайна заметить некоторый спортсмен улыбаться время бег марафон велосипед стать любопытно узнать действительно такой подход спорт както влиять выносливость вместе коллега специалист попросить профессиональный бегун пробежать четыре раз шесть минута бегов дорожка делать двухминутный отдых между каждый подход после каждый забег должный быть сообщать чувствовать себя процесс каждый носить дыхательный маска благодаря что исследователь мочь измерить сколько энергия использовать бег оказаться спортсмен требоваться процент маленький энергия когда улыбаться сравнение бегом хмурый выражение лицо это специалист смочь установить бегун более эффективный когда расслабить поэтому предположить улыбка помогать бегун бессознательно расслабиться уменьшить мышечный напряжение сознательный желание достигнуть подобный состояние такой эффект оказывать источник]
1,1,[германия который считаться страна автомобиль удивить сосед неожиданный решение сделать общественный транспорт бесплатный чтобы сократить количество транспортный средство дорога такой образ уменьшить концентрация выброс вредный вещество несколько подряд эмиссия парниковый газ германия превышать норма берлин пытаться избежать больший штраф рассматривать вариант сделать общественный транспорт бесплатный чтобы сократить количество личный транспортный средство заявить правительство эффективный борьба загрязнение воздух какихлибо ненужный проволочка высокий приоритет германия эксперимент транспорт быть провести конец год пять город западный германия включая бывший столица бонн такой индустриальный город эссный мангейм еврокомиссия угрожать германия иск связь многий крупный город течение ряд превысить допустимый уровень окись азот воздух изз выхлопной газ автомобиль дизельный двигатель общественный транспорт очень популярный германия учитывать эффективность относительный дешевизна сравнение другой крупный страна европа один билет берлин стоить евро более рубль год число пассажирский перевозка достигнуть миллиард потребоваться серьёзный планирование прежде можно быть перейти бесплатный проезд это критика идея бесплатный проезд указывать высокий расход также невыполнимость скорый будущее ведь ежегодный доход предприятие общественный транспорт германия составлять миллиард евро реализация подобный проект потребоваться намного большой персонал транспортный средство]
2,1,[постоянный покупатель киевский магазин ашан украина заметить бабушка который оказаться протяжение ежедневно приходить гипермаркета чтобы почитать книга рассказать богдан гдаля свой страница фейсбук женщина часто стоить отдел книга гипермаркета магелана читать измениться вывеска гипермаркетовый быть страна затем караван сейчас ашан есть даже назвать символ это гипермаркета подойти говорить видеть часто делать дом нечего делать жизнь тяжёлый потом застесняться уйти положить книга узнать звать анастасий большой быть отвлекать пусть читать писать журналист совсем недавно специально этот мила пожилой женщина поставить диванчик такой обновление интерьер рассказать комьюнитименеджер компания ашан украина ирина яргин именно благодаря многочисленный просьба пользователь соцсеть руководство ашан решить поставить ряд книжный полка небольшой уютный диванчик теперь бабушка быть удобный читать уверять сотрудник магазин новость разлететься весь интернет некоторый самый милый комментарий фейсбук]
3,1,[следить микродом солнечный ветровый энергия время этап прототип теперь спустя почти после появление фантастический концепция дизайнер братислава наконец дебютировать международный рынок эксклюзивный выпуск внесетевой микродом который можно установить практически угодный хотя этот набор умный самодостаточный крошечный жилища быть доступный только клиент проживать соединить штат япония австралия два серийный серия появиться конец год несмотря свой футуристический дизайн экокапсула обладать многий характеристика который делать здание действительно устойчивый несмотря собранный стекловолокно стать один этот материал являться возобновлять бамбук конопля заслуживать внимание способность генерировать собственный энергия благодаря солнечный батарея ветряный турбин также собирать фильтровать собственный вода компактный модула незначительный размер размер микродом составлять метр длина метр ширина метр высота комплект ветряный турбин матёж гифраж один разработчик рассказать ветровый турбин производить чистый энергия встроить солнечный батарея смочь предложить пик энергия храниться аккумулятор ёмкость хотя весь легко мочь быть просто подключить внешний розетка если потребоваться дополнительный электричество учитывать наполнить вода резервуар весить килограмм экодом мочь вполне удобно поместиться два человек перевозить можно грузовой контейнер прицеп легковой автомобиль вертолёт один собранный доставить крыша здание братислава январь внутри мочь похвастаться аккуратный простой дизайн интерьер больший количество естественный свет форма сфера способствовать сбор вода также обеспечивать оптимальный использование энергия гифраж сказать дизайн дом задумать жилой помещение человек который нужно оставаться природа течение более длительный время например учёный фотограф рейнджер экстремальный турист мобильность долгосрочный энергетический независимость расширить свой потенциал экокапсула мочь быть быстро отправить ситуация срочный реагирование когда повредить инфраструктура даже функционировать небольшой электростанция система фильтрация вода экокапсула мочь быть установить крыша дом пустой городской пространство самый центр природа сельскохозяйственный пол слово компания многоцелевой подразделение который мочь быть использовать жила автоприцеп гостиница исследовательский станция каждый один стоить доллар цена следующий партия быть ниже точный цифра пока известно источник]
4,1,[строительство дом традиционно уходить один месяц несколько один американский компания предлагать оптимизировать этот процесс построить буквально сутки менее привлекательный стоимость такой дом который стремиться стоимость хорошеть подержать машина американский компания который заниматься печать недавно специалист компания решить размениваться мелочь заняться строительство только разработать проект напечатать самый настоящий жила полезный площадь здание квадрат строительство уйти всего час интересно появиться совсем океан подмосковный город ступино декабрь прошлое год счастие принтер прекрасно работать даже нуль улица слово разработчик особый бетонный смесь который быть использовать прослужить менее огромный плюс напечатать дом являться только скорость возведение процесс строительство оказаться экологически чистый строительный площадка быть никакой строительный мусор учёт встроить техника обойтись всего один квадратный метр источник]
5,1,[хотя стоимость начало февраль значительно упасть криптовалюта продолжать вызывать ажиотаж всего мир поскольку процесс добыча этот валюта занимать много энергия некоторый стартап создать способ повторный использование этот энергия например использовать избыточный тепло выращивать сельскохозяйственный культура исландия центр обработка дать специально предназначить майнинга криптовалюта страна быть полностью работать возобновлять источник энергия время многие узнать только прошлое год фактически существовать год вести себя достаточно тихо поддерживать анонимный торговля теперь зависимость мнение определённый аналитик прогнозироваться быть стоить если криптовалюта всетаки набрать оборот важный найти возобновлять источник энергия чтобы компенсировать огромный выброс углерод который мочь создать майнинга процесс проект делать именно создавать новый центр обработка дать исландия строительство начать апрель прошлое год завершение панироваться август это после открытие датацентр быть иметь мощность мегаватт будущее планироваться расширение ожидаться новый объект ежемесячно быть добываться криптовалюта стоимость миллион доллар датацентр будущий центр обработка дать всегда быть получать энергия помощь чистый возобновлять источник энергия такой энергия генерировать гидро ветровый геотермальный источник сказать эрик крига генеральный директор основатель наш команда также быть внедрять некоторый интеллектуальный технология майнинга включая пользовательский алгоритм помогать управление добыча биткойный чтобы всегда быть сфокусировать только выгодно исландия предоставлять много преимущество центр обработка дать число холодный климат который устранять дальнейший необходимость охлаждение оборудование страна располагаться удачный место между соединить штат европа который быть использовать большинство центр обработка дать благодаря государственный льгота скидка иностранный налог исландия дешёвый покупать земля строить объект проект только надеяться запустить эффективный датацентр который являться высокодоходный также стремиться стать один крупный компанийпроизводитель криптовалюта мир если успешно смочь работать только возобновлять источник энергия быть просто отличный чтобы обуздать потенциально огромный проблема удовлетворение спрос потребоваться много такой объект особенно если биткойна действительно достигнуть шестизначный значение источник]
6,1,[самолёт авиакомпания успешно завершить свой часовой рейс сшаавстралия посадка мельбурн заправить топливо состоять битопливо получить абиссинский горчица промышленный тип горчичный семя благодаря использование смешанный топливо выброс углерод этот полёт сократиться семь процент сравнение обычный перелёт дать маршрут слово авиакомпания если сравнить традиционный реактивный топливо биотопливо абиссинский горчица снижать выброс течение жизненный цикл топливо горчичный зерно мочь удвоить свой ценность ценный урожай источник устойчивый топливо фермер сказать дэниел эксперт сельский хозяйство сиднейский университет почти через день после сбор урожай можно давить масло использовать биотопливо свой техника место экспортировать авиационный топливо сказать большой часть биодизель который сейчас обрабатываться использование отработать масло такой место кафе ресторан многие этот масло мочь быть переработать проблема заведение мочь обеспечить постоянный поставка большой проблема биодизельный промышленность австралия основное заключаться непрерывность поставка один гектар урожай можно использовать производство литр авиационный топливо литр возобновлять дизельный топливо год совершить один перелёт австралия использовать смесь состоять использовать кухонный растительный масло другой авиакомпания весь мир также начать добавлять биотопливо свой коммерческий рейс год авиакомпания совершить рейс использовать аналогичный смесь добавлять растительный масло голландский авиакомпания еженедельно отправлять рейс маршрут ньюйорк амстердам течение шесть месяц год также использовать биотопливо планировать год постоянный основа использовать форма биотопливо обязательно получить абиссинский горчица весь рейс лосанджелес поставляться биотопливо быть американский компания слово представитель прессслужба авиакомпания ближний будущее намерить создать австралийский фабрика биопереработка партнерство канадский компания который предоставить битопливо последний полёт источник]
7,1,[ноябрь год компания закончить строительство южный австралия гигантский станция аккумулятор инвертор произвести гигафабрика невад обещать илона маск строительство завершиться месяц иначе стать бесплатный система мвтч вступить строить декабрь год аккумулировать энергия ближний ветряный электростанция который принадлежать компания такой ёмкость аккумулятор сейчас крупный мир аккумуляторный установка свой род демонстрационный проект илона маск хотеть показать весь рынок будущее именно аккумуляторный хранилище энергосистема сглаживать скачка генерировать мощность ветряный солнечный электростанция аккумулировать энергия время максимальный генерация время низка цена спотовой рынок подавать система когда наблюдаться максимальный энергопотребление особенно летом максимальный цена электричество графика январь год хорошо видно система аккумулировать дешёвый энергия продавать несколько дорогой пиковый часы именно установка принести компания максимальный прибыль кроме тот станция оперативно реагировать резкий изменение электросеть например декабрь год технический причина общий сеть внезапно отключиться угольный электростанция станция среагировать событие течение миллисекунда секунда быстрый резервный генератор частотный контроль вспомогательный услуга квинсленд полный мощность станция выходить миллисекунда австралийский правительство инициировать тендер строительство после блэкаут весной год тендер принять участие компания надо полагать демонстрация отлично удаться потому всего через несколько день после выход полный мощность станция заработать свой владелец примерно миллион австралийский доллар около такой примерный подсчёт эксперт делать исходить вышеприведённый график сохранить продать электроэнергия система работать два уровень мощность мвтч доступный оператор продажа внешний рынок остальной использовать государственный оператор выравнивание напряжение электросеть один месяц станция проходить тестирование два половина январь заработать полный сила подстанция возле джеймстаун июль год начало строительство здесь аккумуляторный станция ключевой преимущество аккумуляторный система перед другой электростанция способность мгновенно включаться выключаться реагировать изменение цена спотовой рынок фактически станция работать только аккумулятор генератор частотный контроль продвинуть торговый алгоритм который разработать извлечение максимальный прибыть рынок это объясняться относительно невысокий мощность станция один задача мгновенно включаться несколько минута момент когда сеть происходить некий скачок цена электричество резко подниматься выше норма график показать система выполнять несколько задача одновременно работать три режим кроме мгновенный включениявыключение другой преимущество такой аккумуляторный система модульность мощность легко наращиваться случай необходимость скорость строительство компания обещать построить день реальность справиться неделя ранний срок есть недостаток станция работать только несколько минута неизвестно сколько цикл зарядаразряд выдержать батарея прежде прийтись менять рынок голосовать деньга аккумулятор австралия запланировать строительство минимум четыре подобный аккумуляторный система южный австралия северный территория квинсленд новый южный уэльс источник]
8,1,[прошлое год астроном обнаружить планетарный система семь землеподобный планет получить название система только обладать самый больший число землеподобный мир обращаться внутри один система содержимый наибольший число планета находиться называть обитаемый зона звезда регион слишком жарко холодный поверхность планета мочь иметься вод также необходимый условие существование жизнь провести исследование три потенциально обитаемый планета система учёный обнаружить новое свидетельство польза тот минимум действительно мочь поддерживать жизнь свой работа учёный поделиться журнал свой исследование команда астроном руководство планетарный геофизик барра планетологический институт сперва создать математический модель семь планета также геология использовать модель учёный определить шесть этот мир мочь иметь свой поверхность вода либо жидкий либо твёрдый состояние один планет вообще мочь являться дом целое глобальный океан следующий учёный состоять чтобы определить поверхностный температура каждый планета мир система обладать весьма необычный яйцевидный орбита заставлять немного растягиваться немного сжиматься самый создавать некий нагрев поверхность также внутренний состав феномен носить название приливный нагрев заставлять повышаться внешний температура планета также способствовать запуск различный химический процесс движение мантийный слой создавать условие благоприятный жизнь происходить земля один главный открытие планета также находиться эксцентричный орбита яйцевидный форма поэтому каждый когда планет обходить звезда растягиваться сжиматься рассказать барра интервью учёный определить планета испытывать приливный нагрев исследователь считать планета испытывать приливный тепло планет вероятно практически иметь вода основное состоять железо камень однако планета испытывать воздействие приливный нагрев гораздо маленький остальной именно мочь являться наиболее пригодный жизнь барра сообщить издание планета находиться это тип регион иметь очень разумный температура поверхность астроном считать средний показатель температура поверхность планета мочь составлять порядок градус цельсий возможно чуть тёплый температура плавление лёд планет согласно барра свой очередь несколько холодный температура поверхность мочь быть аналогичный средний показатель свойственный земной арктический регион данный момент математический моделирование являться наиболее эффективный метод изучение вероятный особенность планета система однако оставлять некоторый существенный пробел наш знание например такой модель мочь ответить вопрос обладать какаянибудь этот планета атмосфера счастие разработка находиться сразу несколько проект который позволить наблюдать исследовать дальний мир больший уровень деталь один такой проект являться долгострой космический телескоп джеймс уэбба запуск ожидать астроном всего свет запланировать начать год один ключевой цель исследование быть являться экзопланета число система помимо ожидать свой открытие ближний будущее несколько новый наземный обсерватория тоже внести существенный вклад исследование экзопланета например гигантский магеллан телескоп европейский чрезвычайно большой телескоп должный запуститься год соответственно смочь большой рассказать потенциал обитаемость описать сегодня планета исследование экзопланета попрежний находиться ранний стадия первое подтверждение существование экзопланета учёный произойти лишь год астроном подтвердить существование планета среди система лишь который рассматриваться учёный потенциально обитаемый развитие технология создание новый инструмент поиск иной мир смочь узнать гораздо большой окружать этот вселенная источник]
9,1,[когда речь заходить водоросль многие вспомнить разве последний посещение пруд аквариум крошечный зелёный организм самый дело иметь большой потенциал обеспечение светлый будущее человечество инновационный технология использование водоросль появляться чуть каждый многие учёный уверить они будущее водоросль частность микроводоросль обладать уникальный возможность получение энергия солнечный свет посредством фотосинтез подобно растение ход это процесс потреблять атмосфера выделять кислород делать идеальный очистка атмосфера порядком загадить изз использование ископаемое топливо более интересно некоторый этот микроорганизм производить масло который можно использовать качество топливо автомобиль даже качество альтернативный источник белок человек обозримый будущее человек должный научиться жить гармония природа проект живой вещий существенный подобный набор живой фотосинтетический светильник мало тот свет вырабатываться естественный образ водоросль спирулина светильник также очищать окружающий воздух также разрабатываться мебель водоросль который быть слегка светиться темнота иметь возможность естественный подогрев хотя существовать множество концепция который мочь похвастаться способность водоросль производить энергия есть только один здание полностью запитать международный дизайнерский фирма сотрудничество немецкий консалтинговый фирма австрийский архитектурный студия создать первое мир здание водоросль получить название здание есть биоадаптивный фасад водоросль который только обеспечивать тень уметь улавливать солнечный тепловой энергия также зелёный фасад вырабатывать биомасса который мочь использоваться выработка дополнительный электроэнергия фонарь автономный питание пьер кальех использовать способность микроводоросль производство энергия чтобы обеспечивать свет посредством полностью естественный процесс фотосинтез также фонарь одновременно поглощать воздух каждый перерабатывать минимум тонна углекислый газа штука название быть продемонстрировать итальянский милан повидимый один мир биоцифровой навес который суметь объединить культура микроводоросль здесь питательный раствор течь трубка змеиться вдоль весь зелёный крыша цифровой технология навес мочь производить кислород ничуть худой целое четыре гектар леса также вырабатывать биомасса день который растительный белок также уметь реагировать посетитель регулировать прозрачность цвета зависимость температура улица передвижение человек проходить навес водоросль можно использовать только производство биотопливо поглощение также прекрасно подходить создание устойчивый материал йонссон разработать биоразлагать бутылка смесь порошкообразный агар вода мало тот полностью естественный альтернатива пластик бутылка также можно съесть микроводоросль обрести успех специализировать рынок продукт питание спирулина один вид водоросль набирать популярность качество биодобавка здоровый питание также продаваться альтернатива рыбий жир поскольку спирулина есть жирный кислота омег омег микроводоросль также рассматриваться корма животное изз множество питательный вещество выше быть рассмотреть возможность заправлять автомобиль водоросль обеспечивать помощь энергия всего дом переплюнуть представить проект экологически чистый город экспериментировать возможность строительство целое город шведский коммуна симрисхамна цель проект являться сбор водоросль производство энергия продукт питание сохранение окружающий среда загрязнение разработать французский представлять себя живой штора состоять прозрачный трубка связанный вместе дневный время живой водоросль закачиваться трубка фотосинтез производство биотопливо который мочь быть использовать обеспечение энергия квартира также обеспечение тенить жаркое деревянный мотоцикл ручной работа отличный пример использование больший количество натуральный материал число топливо водоросль который работать энергопроизводительный возможность микроводоросль делать потенциальный кандидат использование качество основный источник топливо один пример год стать разновидность гибридный год провести один пассажирский авиарейс водоросль чикаго хьюстон япония рассматривать вопрос разработка целое парк автобус работать водоросль энергетический компания работать способ производство биотопливо водоросль более низка цена чтобы стать настоящий альтернатива обычный нефтепродукт источник]
